Timestamp,A_QI,A_QJ,A_QK,A_QR,B_QI,B_QJ,B_QK,B_QR,A_AX,A_AY,A_AZ,B_AX,B_AY,B_AZ,A_GX,A_GY,A_GZ,B_GX,B_GY,B_GZ
32242,-0.08898932486772537,0.017089856788516045,0.9652717113494873,0.24499529600143433,0.0,0.0,0.0,0.0,-1.5312505960464478,-0.42187514901161194,9.765628814697266,0.0,0.0,0.0,0.13281258940696716,-0.777344286441803,-0.18359388411045074,0.0,0.0,0.0
32253,-0.08898932486772537,0.017089856788516045,0.9652717113494873,0.24499529600143433,0.0,0.0,0.0,0.0,-1.5312505960464478,-0.42187514901161194,9.765628814697266,0.0,0.0,0.0,0.21484389901161194,-0.777344286441803,-0.14843760430812836,0.0,0.0,0.0
32265,-0.08898932486772537,0.017089856788516045,0.9652717113494873,0.24499529600143433,0.0,0.0,0.0,0.0,-0.9179691076278687,-0.7656252980232239,10.996097564697266,0.0,0.0,0.0,0.21484389901161194,-0.777344286441803,-0.14843760430812836,0.0,0.0,0.0
32276,-0.08898932486772537,0.017089856788516045,0.9652717113494873,0.24499529600143433,0.0,0.0,0.0,0.0,-0.9179691076278687,-0.7656252980232239,10.996097564697266,0.0,0.0,0.0,0.2714845836162567,-0.6328129768371582,-0.003906252793967724,0.0,0.0,0.0
32286,-0.08898932486772537,0.017089856788516045,0.9652717113494873,0.24499529600143433,0.0,0.0,0.0,0.0,-0.9179691076278687,-0.7656252980232239,10.996097564697266,0.0,0.0,0.0,0.3574221432209015,-0.44921907782554626,0.021484389901161194,0.0,0.0,0.0
32297,-0.044799838215112686,0.0017089855391532183,0.9660651683807373,0.2544557452201843,0.0,0.0,0.0,0.0,-0.9179691076278687,-0.7656252980232239,10.996097564697266,0.0,0.0,0.0,0.3574221432209015,-0.44921907782554626,0.021484389901161194,0.0,0.0,0.0
32310,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,-0.9179691076278687,-0.7656252980232239,10.996097564697266,0.0,0.0,0.0,0.3574221432209015,-0.44921907782554626,0.021484389901161194,0.0,0.0,0.0
32320,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,-1.0742191076278687,0.26953133940696716,9.500003814697266,0.0,0.0,0.0,0.3574221432209015,-0.44921907782554626,0.021484389901161194,0.0,0.0,0.0
32331,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,-1.0742191076278687,0.26953133940696716,9.500003814697266,0.0,0.0,0.0,0.5703129172325134,-0.009765632450580597,0.011718758381903172,0.0,0.0,0.0
32343,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,-1.0742191076278687,0.26953133940696716,9.500003814697266,0.0,0.0,0.0,0.4023440480232239,-0.16992199420928955,0.013671884313225746,0.0,0.0,0.0
32354,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,-1.3789067268371582,-0.07812502980232239,7.929690361022949,0.0,0.0,0.0,0.4023440480232239,-0.16992199420928955,0.013671884313225746,0.0,0.0,0.0
32365,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,-1.3789067268371582,-0.07812502980232239,7.929690361022949,0.0,0.0,0.0,0.3007814586162567,-0.6835942268371582,0.021484389901161194,0.0,0.0,0.0
32375,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,-1.3789067268371582,-0.07812502980232239,7.929690361022949,0.0,0.0,0.0,0.20117202401161194,-0.8046880960464478,0.003906252793967724,0.0,0.0,0.0
32387,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,-1.3789067268371582,-0.07812502980232239,7.929690361022949,0.0,0.0,0.0,0.11328133195638657,-0.9101569056510925,-0.03320314735174179,0.0,0.0,0.0
32398,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,-0.7265627384185791,0.6132814884185791,8.50390911102295,0.0,0.0,0.0,0.11328133195638657,-0.9101569056510925,-0.03320314735174179,0.0,0.0,0.0
32409,-0.04327395558357239,0.004394534509629011,0.9661262035369873,0.2544557452201843,0.0,0.0,0.0,0.0,-0.4609376788139343,0.4960939288139343,8.35156536102295,0.0,0.0,0.0,0.11328133195638657,-0.9101569056510925,-0.03320314735174179,0.0,0.0,0.0
